"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"V329",1,0.497238403258169,0.497238403258169,81.049625982965,5.74468589447046e-16
"V330",1,0.166309287271295,0.166309287271295,27.1083356444482,5.76583971954363e-07
"V333",1,4.28389029257074,4.28389029257074,698.272103863708,1.27767030521544e-60
"V334",1,0.783384807435221,0.783384807435221,127.691355348504,3.349957404377e-22
"V335",1,0.368764189427038,0.368764189427038,60.1083895232736,9.38453605826832e-13
"V336",1,0.451803614365877,0.451803614365877,73.6437767520815,7.26792374797878e-15
"V337",1,1.2005031396775,1.2005031396775,195.681447419734,1.15565086694078e-29
"V338",1,0.167836935544841,0.167836935544841,27.3573415949,5.16412413243898e-07
"V339",1,1.5261117447919,1.5261117447919,248.755496987171,1.49338485897149e-34
"V352",1,0.11848949936932,0.11848949936932,19.3137326961568,1.99845160598598e-05
"V355",1,0.0286956482083131,0.0286956482083131,4.67737716834185,0.0320289057117547
"V356",1,0.0763269901706263,0.0763269901706263,12.4412635170553,0.000546487547929754
"V357",1,0.0110294629297155,0.0110294629297155,1.79779727267421,0.181856079129458
"V364",1,0.00947768322999032,0.00947768322999032,1.54485791109923,0.215692099933415
"V384",1,0.0421666019683775,0.0421666019683775,6.87313629863605,0.00958382884980258
"V387",1,1.68446747099619,1.68446747099619,274.567405916609,1.05250675948544e-36
"V388",1,0.0960701802482729,0.0960701802482729,15.6593942185832,0.000113222903558351
"V390",1,10.3500738615464,10.3500738615464,1687.05717393846,1.45850302989465e-87
"V393",1,0.00148657253078286,0.00148657253078286,0.242310623690792,0.62320864243926
"V394",1,0.156202126622117,0.156202126622117,25.460873209934,1.20090155308778e-06
"V395",1,0.217669729383938,0.217669729383938,35.4800635646429,1.55331128377156e-08
"V397",1,0.191445153888716,0.191445153888716,31.2054700869017,9.6103610702321e-08
"V398",1,0.1532464047563,0.1532464047563,24.9790919352689,1.49054891211093e-06
"V399",1,0.376686204621017,0.376686204621017,61.3996742758112,5.82467957634122e-13
"V400",1,0.00378656366432754,0.00378656366432754,0.617208097249658,0.433234200831253
"V401",1,0.0106516112792355,0.0106516112792355,1.73620763127125,0.189480451319986
"V402",1,0.108522919068302,0.108522919068302,17.689184792307,4.29322814849779e-05
"V403",1,0.865965913159798,0.865965913159798,141.15203676084,8.23620093793096e-24
"V404",1,0.704224903373922,0.704224903373922,114.788328199001,1.38268362980958e-20
"V405",1,0.100251417971788,0.100251417971788,16.3409340019471,8.16054489729761e-05
"V407",1,0.834828982021395,0.834828982021395,136.076731622522,3.26458816549504e-23
"V410",1,0.297249655289688,0.297249655289688,48.4515540773422,7.98692999530831e-11
"V411",1,0.05088769303127,0.05088769303127,8.29467004216675,0.00451415237575412
"V414",1,0.781393519999761,0.781393519999761,127.366776432614,3.67093496562531e-22
"V415",1,0.0918155156857308,0.0918155156857308,14.9658858949754,0.000158315313604031
"V416",1,0.40999225408953,0.40999225408953,66.8285446822499,8.09050895938278e-14
"V417",1,0.410286874588664,0.410286874588664,66.8765676851098,7.95221144535971e-14
"V418",1,0.00687983731265364,0.00687983731265364,1.12141024780162,0.29119139137765
"V419",1,0.00148477546465029,0.00148477546465029,0.24201770275597,0.623418567837865
"V420",1,0.578813879624341,0.578813879624341,94.3463902826194,7.32555457102662e-18
"V421",1,0.277459387815418,0.277459387815418,45.2257497822954,2.8628210688183e-10
"V422",1,0.00298378617487202,0.00298378617487202,0.486355743848202,0.48655708705445
"V424",1,0.0101613125587638,0.0101613125587638,1.65628917032019,0.199940959828201
