"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"V153",1,0.00481960496067251,0.00481960496067251,0.033970743777974,0.853816784791607
"V154",1,0.0587735390403206,0.0587735390403206,0.414262341406688,0.520002463892373
"V155",1,0.0529384052397374,0.0529384052397374,0.373133693547103,0.54147834510129
"V156",1,0.0372366117921586,0.0372366117921586,0.262460390150896,0.608579323899236
"V158",1,0.0175867287803223,0.0175867287803223,0.123959175526636,0.724874228491581
"V159",1,0.00936419195624936,0.00936419195624936,0.0660030372259232,0.797315308516168
"V160",1,0.0235282337379492,0.0235282337379492,0.165837575150273,0.683949198474494
"V161",1,0.00132252349290522,0.00132252349290522,0.00932174049210156,0.923109137414364
"V163",1,0.35056575200186,0.35056575200186,2.4709451159927,0.11637214747067
"V164",1,0.30238684652867,0.30238684652867,2.13135851777811,0.144713892332471
"V165",1,0.111930646208315,0.111930646208315,0.78893754452339,0.374694349346577
"V166",1,0.0067160101241933,0.0067160101241933,0.0473374604352251,0.827819491564318
"V167",1,0.141890061824278,0.141890061824278,1.0001049825048,0.317594054325262
"V168",1,0.671162636319914,0.671162636319914,4.73065617157799,0.0299281683127762
"V170",1,0.000529420273765191,0.000529420273765191,0.00373159223996495,0.951305701950469
"V171",1,0.0292297479941227,0.0292297479941227,0.206024412354438,0.65002721659748
"V172",1,0.0331993944057631,0.0331993944057631,0.234004265939819,0.628705744396586
"V173",1,0.00763519688240116,0.00763519688240116,0.0538163021871908,0.816611515042455
"V174",1,0.10317440957341,0.10317440957341,0.727219649880388,0.39404666800055
"V175",1,0.0259414496711941,0.0259414496711941,0.182847006590842,0.669055471055997
"V176",1,0.0605489594531428,0.0605489594531428,0.426776303118137,0.513766800545506
"V177",1,0.00384161224182314,0.00384161224182314,0.0270774111625722,0.869338963062607
"V178",1,0.0602910559961358,0.0602910559961358,0.424958483539784,0.51466447001345
"V179",1,0.0654982333641239,0.0654982333641239,0.4616610119872,0.497049523825735
"V180",1,0.0712671600342964,0.0712671600342964,0.502323002209528,0.478692144246654
"V181",1,0.16584700974137,0.16584700974137,1.16896432803926,0.279947026277644
