"","Df","Deviance","Resid. Df","Resid. Dev"
"V257",1,0.00424673196329195,12932,432.625720137897
"V258",1,0.00141170910427491,12931,432.624308428792
"V259",1,0.000328424061990518,12930,432.62398000473
"V260",1,0.00433225277680549,12929,432.619647751953
"V261",1,0.00191898933803714,12928,432.617728762615
"V262",1,0.00886115626320816,12927,432.608867606352
"V263",1,0.00366021897042401,12926,432.605207387382
"V264",1,0.00103370492780641,12925,432.604173682454
"V265",1,0.0133404578775185,12924,432.590833224576
"V266",1,0.000731386218831176,12923,432.590101838358
"V267",1,0.227642589830623,12922,432.362459248527
"V268",1,0.00035652532056929,12921,432.362102723206
"V269",1,0.00141315752091487,12920,432.360689565686
"V270",1,0.246804342003315,12919,432.113885223682
"V271",1,0.0698059539047904,12918,432.044079269777
"V272",1,0.00142467140182134,12917,432.042654598376
"V273",1,0.000156886040542759,12916,432.042497712335
"V274",1,0.00858984027371434,12915,432.033907872061
"V275",1,0.096059899608349,12914,431.937847972453
"V276",1,0.000966241313221872,12913,431.93688173114
"V277",1,0.00076695286230688,12912,431.936114778277
"V278",1,0.000625374872981865,12911,431.935489403404
"V279",1,0.0285851456041541,12910,431.9069042578
"V280",1,0.00116176367532717,12909,431.905742494125
"V281",1,0.000595358443035821,12908,431.905147135682
"V282",1,4.44601216713636e-05,12907,431.90510267556
"V283",1,0.0449975964992291,12906,431.860105079061
"V284",1,0.0034404193979185,12905,431.856664659663
"V285",1,0.00050290000149289,12904,431.856161759662
"V286",1,0.000435959540993736,12903,431.855725800121
"V287",1,0.00376725028394276,12902,431.851958549837
"V288",1,0.041826327328522,12901,431.810132222508
"V289",1,0.00230517777742989,12900,431.807827044731
"V290",1,0.000267204513761499,12899,431.807559840217
"V291",1,9.63451342954613e-05,12898,431.807463495083
"V292",1,0.00163457814892354,12897,431.805828916934
"V293",1,0.00431065554818133,12896,431.801518261386
"V294",1,0.00318912205057131,12895,431.798329139335
"V295",1,0.000832508270946164,12894,431.797496631064
"V296",1,0.00131038209724466,12893,431.796186248967
"V297",1,3.95528074363938e-05,12892,431.796146696159
"V298",1,8.01866148094632e-05,12891,431.796066509545
